2024-07-08 17:12:18 - | Successfully processed | 606 | in | 520.94 | seconds with | 1 | concurrent requests |
2024-07-08 17:24:05 - | Successfully processed | 1016 | in | 701.63 | seconds with | 2 | concurrent requests |
2024-07-08 17:32:27 - | Successfully processed | 652 | in | 496.61 | seconds with | 3 | concurrent requests |
2024-07-08 17:40:23 - | Successfully processed | 813 | in | 470.33 | seconds with | 4 | concurrent requests |
2024-07-08 17:45:44 - | Successfully processed | 754 | in | 315.47 | seconds with | 5 | concurrent requests |
2024-07-08 17:50:45 - | Successfully processed | 730 | in | 295.33 | seconds with | 6 | concurrent requests |
2024-07-08 17:56:24 - | Successfully processed | 777 | in | 333.31 | seconds with | 7 | concurrent requests |
2024-07-08 18:02:49 - | Successfully processed | 936 | in | 379.53 | seconds with | 8 | concurrent requests |
2024-07-08 18:06:21 - | Successfully processed | 633 | in | 206.98 | seconds with | 9 | concurrent requests |
2024-07-08 18:14:21 - | Successfully processed | 1276 | in | 474.06 | seconds with | 10 | concurrent requests |
2024-07-08 18:21:04 - | Successfully processed | 989 | in | 398.13 | seconds with | 11 | concurrent requests |
2024-07-08 18:27:33 - | Successfully processed | 986 | in | 382.59 | seconds with | 12 | concurrent requests |
2024-07-08 18:32:38 - | Successfully processed | 996 | in | 300.35 | seconds with | 13 | concurrent requests |
2024-07-08 18:40:51 - | Successfully processed | 567 | in | 332.71 | seconds with | 7 | concurrent requests |
2024-07-08 18:49:07 - | Successfully processed | 723 | in | 302.63 | seconds with | 7 | concurrent requests |
2024-07-08 18:56:09 - | Successfully processed | 992 | in | 416.91 | seconds with | 8 | concurrent requests |
2024-07-08 19:01:11 - | Successfully processed | 903 | in | 296.62 | seconds with | 9 | concurrent requests |
2024-07-08 19:05:10 - | Successfully processed | 606 | in | 233.10 | seconds with | 10 | concurrent requests |
2024-07-08 19:10:36 - | Successfully processed | 827 | in | 319.91 | seconds with | 11 | concurrent requests |
2024-07-08 19:15:57 - | Successfully processed | 726 | in | 315.63 | seconds with | 12 | concurrent requests |
2024-07-08 19:22:20 - | Successfully processed | 789 | in | 377.55 | seconds with | 13 | concurrent requests |
2024-07-08 19:36:42 - | Successfully processed | 699 | in | 855.70 | seconds with | 14 | concurrent requests |
2024-07-08 19:59:51 - | Successfully processed | 507 | in | 592.21 | seconds with | 7 | concurrent requests |
2024-07-08 20:09:41 - | Successfully processed | 896 | in | 584.47 | seconds with | 8 | concurrent requests |
2024-07-08 20:19:18 - | Successfully processed | 816 | in | 571.42 | seconds with | 9 | concurrent requests |
2024-07-08 20:25:04 - | Successfully processed | 664 | in | 340.29 | seconds with | 10 | concurrent requests |
2024-07-14 21:03:56 - | Successfully processed | 1068 | in | 141.27 | seconds with | 7 | concurrent requests |
2024-07-14 21:06:02 - | Successfully processed | 1030 | in | 119.50 | seconds with | 8 | concurrent requests |
2024-07-14 21:07:31 - | Successfully processed | 931 | in | 81.73 | seconds with | 9 | concurrent requests |
2024-07-14 21:08:59 - | Successfully processed | 780 | in | 81.19 | seconds with | 10 | concurrent requests |
2024-07-14 21:10:50 - | Successfully processed | 717 | in | 104.38 | seconds with | 11 | concurrent requests |
2024-07-14 21:14:52 - | Successfully processed | 1408 | in | 236.28 | seconds with | 12 | concurrent requests |
2024-07-14 21:16:41 - | Successfully processed | 848 | in | 101.61 | seconds with | 13 | concurrent requests |
2024-07-14 21:18:01 - | Successfully processed | 571 | in | 72.76 | seconds with | 14 | concurrent requests |
2024-07-14 21:49:12 - | Successfully processed | 747 | in | 103.04 | seconds with | 7 | concurrent requests |
2024-07-14 21:50:41 - | Successfully processed | 790 | in | 82.80 | seconds with | 8 | concurrent requests |
2024-07-14 21:51:34 - | Successfully processed | 695 | in | 48.23 | seconds with | 9 | concurrent requests |
2024-07-14 21:52:35 - | Successfully processed | 719 | in | 55.55 | seconds with | 10 | concurrent requests |
2024-07-14 21:53:48 - | Successfully processed | 595 | in | 66.88 | seconds with | 11 | concurrent requests |
2024-07-14 21:56:07 - | Successfully processed | 1028 | in | 133.98 | seconds with | 12 | concurrent requests |
2024-07-14 22:09:17 - | Successfully processed | 6902 | in | 589.58 | seconds with | 7 | concurrent requests |
2024-07-14 22:18:20 - | Successfully processed | 7334 | in | 534.38 | seconds with | 8 | concurrent requests |
2024-07-14 22:27:49 - | Successfully processed | 6936 | in | 559.82 | seconds with | 9 | concurrent requests |
2024-07-14 22:34:38 - | Successfully processed | 5974 | in | 398.83 | seconds with | 10 | concurrent requests |
2024-07-14 22:43:07 - | Successfully processed | 6858 | in | 500.28 | seconds with | 11 | concurrent requests |
2024-07-14 22:50:04 - | Successfully processed | 6372 | in | 407.86 | seconds with | 12 | concurrent requests |
2024-07-14 22:56:59 - | Successfully processed | 6874 | in | 407.96 | seconds with | 13 | concurrent requests |
2024-07-14 23:04:26 - | Successfully processed | 7814 | in | 438.01 | seconds with | 14 | concurrent requests |
